store_id,company_name,store_name,ubereats_status,doordash_status,grubhub_status,pipeline_stage,onboarding_status
8d78e96c-a9e9-4471-a614-5fe8ec490186,"Gawfco Enterprises, Inc.",Fast Fill Market San Jose Leigh Ave (1031 Leigh Ave),ID Present,ID Present,ID Present,Pending Launch,In progress
be80774c-6534-4d45-ae15-ca301d2bbc32,"Gawfco Enterprises, Inc.",Fast Fill Market San Jose Snell Ave (6097 Snell Ave),ID Present,ID Present,ID Present,Pending Launch,In progress
5f15b188-bff5-48e4-bbb7-326b17e5ffa2,"Gawfco Enterprises, Inc.",Fast Fill Market San Luis Obispo (2000 Monterey St),ID Present,ID Present,ID Present,Pending Launch,In progress
1c24f348-7444-4291-a793-fd9563b38d5c,"Gawfco Enterprises, Inc.",Fast Fill Market San Mateo (404 19th Ave),ID Present,ID Present,ID Present,Pending Launch,In progress
dbffb3fc-441f-4b08-abe9-9c97c1c43a22,"Gawfco Enterprises, Inc.",Fast Fill Market San Rafael (475 3rd St),ID Present,ID Present,ID Present,Pending Launch,In progress
03111b2e-a3a4-47bd-a427-2245ab616205,"Gawfco Enterprises, Inc.",Fast Fill Market Santa Rosa (5855 Sonoma Hwy),ID Present,ID Present,ID Present,Pending Launch,In progress
f16a40ca-6ddc-4030-bda5-a91d9714e1b9,"Gawfco Enterprises, Inc.",Fast Fill Market Sebastopol (370 Sebastopol Rd),ID Present,ID Present,ID Present,Pending Launch,In progress
8e6a76d2-18a5-44ce-adca-88556ae2597a,"Gawfco Enterprises, Inc.",Fast Fill Market Suisun (115 Sunset Ave),ID Present,ID Present,ID Present,Pending Launch,In progress
76dcf321-d40e-49a2-ac64-3e0be4c129c3,"Gawfco Enterprises, Inc.",Fast Fill Market Sun City (27181 Mccall Blvd),ID Present,ID Present,ID Present,Pending Launch,In progress
3354bd6d-a303-4fb6-9573-91f27b396cf5,"Gawfco Enterprises, Inc.",Fast Fill Market Sunnyvale (1689 South Wolfe Rd),ID Present,ID Present,ID Present,Pending Launch,In progress
ab2b0c40-12db-4f29-a983-caefe9f11fea,"Gawfco Enterprises, Inc.",Fast Fill Market Thousand Palms (72275 Ramon Rd),ID Present,ID Present,ID Present,Pending Launch,In progress
3651f099-5c2d-461a-b54d-9e4233faab4e,"Gawfco Enterprises, Inc.",Fast Fill Market Walnut Creek (1790 Ygnacio Valley Rd),ID Present,ID Present,ID Present,Pending Launch,In progress
fc3faa70-2577-42c8-a5de-14256e2df4af,"Gawfco Enterprises, Inc.",Fast Fill Market Yucaipa (33928 County Line Rd),ID Present,ID Present,ID Present,Pending Launch,In progress
f2f4352e-b590-413f-a32d-9a29a01e3caf,Fast Track,Fast Track (14361 Holiday Rd),ID Present,,Missing,Pending Launch,In progress
2df2cc9c-2334-4dd8-a3bb-41fe397e0395,Clipper Petroleum,Flyby Café (5990 H.F Reed Industrial Pkwy),6149b046-3ca0-5fc1-89fc-80f341d4be3f,Missing,,Pending Launch,In progress
62ec6ee5-497f-47db-b7af-9c330222b54c,Circle K Gas Express,Gas Express (40081 Hwy 441),ID Present,ID Present,ID Present,Pending Launch,In progress
7d9eea9f-ab68-4679-928c-6182fa10eafb,Heritage Co,Heritage Wine & Spirits at Eastman,8c167981-0018-55a3-8794-b1ff0ce02e01,Missing,,Pending Launch,In progress
9dc2f468-d7b6-4ed8-bd82-5dfc067f2700,Jacksons Food Stores,Jacksons Food Stores #88,,ID Present,,Pending Launch,In progress
58c2e7fd-3159-4a90-bc1a-9b83e680e3f7,Jr. Market & Piggly Wiggly,Jr Market 10 - Lynnhaven,ID Present,ID Present,,Pending Launch,In progress
cc6242b4-179e-485b-98dd-7bbd157517c8,Jr. Market & Piggly Wiggly,Jr Market 168 - Briar Hill,ID Present,ID Present,,Pending Launch,In progress
8f425a97-8520-483f-98bc-a310332a9940,Jr. Market & Piggly Wiggly,Jr Market 211 - Chicks Beach,ID Present,ID Present,,Pending Launch,In progress
9425f263-b445-4985-9da6-ac7dacb87482,Jr. Market & Piggly Wiggly,Jr Market 53 - Sandbridge,ID Present,ID Present,,Pending Launch,In progress
1341aab9-217c-490a-9d64-8ea79d92b4c0,Jr. Market & Piggly Wiggly,Jr Market 6 - Oceanview,ID Present,ID Present,,Pending Launch,In progress
a2c1848f-ec46-4ea1-a86b-2ee8b16e2286,Jr. Market & Piggly Wiggly,Jr Market 9 - London Bridge,ID Present,ID Present,,Pending Launch,In progress
90c5228b-cd02-47e4-a188-6c2255e74c5d,DHS Energy Sales LLC,Kangaroo Express Broadway,ID Present,ID Present,ID Present,Pending Launch,In progress
8dea3ef3-7017-4bb1-b2e8-f98bebe91d45,Rocket,Krispy Krunchy Chicken (1297 Hwy 4 Unit B),ID Present,ID Present,ID Present,Pending Launch,In progress
abd552a7-ad0f-4c5e-a097-f2217b724a1a,Rocket,Krispy Krunchy Chicken (18463 Road 23),ID Present,ID Present,ID Present,Pending Launch,In progress
580d73d6-6afe-4347-8dbf-559cae1cadb0,Rocket,Krispy Krunchy Chicken (580 Marie Ave),ID Present,ID Present,ID Present,Pending Launch,In progress
e0f0e024-c857-4a79-b32d-6656617bb56b,Rocket,Krispy Krunchy Chicken (8324 Highway 138),ID Present,ID Present,ID Present,Pending Launch,In progress
67c3fa22-981d-4a92-9008-71c829757bd0,Circle K (Shahid LLC),Krispy Krunchy Chicken - Seacoast,ID Present,ID Present,ID Present,Pending Launch,In progress
fbf49575-1a01-45d5-bb2a-4fa4656a66db,Quick Track - LaMa,Lama 109,ID Present,Missing,,Pending Launch,In progress
37237abe-7de5-47b8-83c4-a439c25e486c,Ridgeway Petroleum,Mastodon Market (515 W. Coal City Road),ID Present,Missing,,Pending Launch,In progress
494e6f88-94cb-48a1-bf17-00224434d4d2,Mercaso,Mercaso (112 Tustin Ave),ID Present,Missing,,Pending Launch,In progress
db3eeef0-e525-401a-9921-ea14ab853001,Mercaso,Mercaso (12101 Garfield Ave),ID Present,Missing,,Pending Launch,In progress
5cc2556f-5941-4324-b723-95c517aa34a7,Mercaso,Mercaso (1413 West Puente Ave),ID Present,Missing,,Pending Launch,In progress
432e173b-0de3-4698-8b6d-922cee14e3ab,Mercaso,Mercaso (15827 Imperial Hwy),ID Present,Missing,,Pending Launch,In progress
eb349b65-60cf-4ba6-8cb4-f49946037ae5,Mercaso,Mercaso (2177 S Atlantic Blvd),ID Present,Missing,,Pending Launch,In progress
9ece86a3-518b-4f82-a7ea-35a7831c4d26,Mercaso,Mercaso (259 West Imperial Hwy),ID Present,Missing,,Pending Launch,In progress
16a0cf53-11cc-4adc-a6fc-ca561728f3f1,Mercaso,Mercaso (2700 W Pico Blvd),ID Present,Missing,,Pending Launch,In progress
