Store ID,store_name,DSP ID,DSP Name
6099bc27-eac4-44d8-8f35-0f2e6f35c552,Mega! CO-OP (17255 County Highway X),7b1d3f26-5c79-536c-8f69-d4d0480f56a8,UberEats
816ef953-1377-4b05-a6eb-a7e74083917c,Circle K (1188 Broward Rd),231ad2b7-19e6-5428-a68e-abceba1f8fb1,UberEats
ee5db745-7c8b-4c56-a5ee-7dd0e99b5f4d,Circle K (6357 Eastern Ave),aeca4828-5602-5210-99fa-9b42ab9819f1,UberEats
cfa787ab-1536-41e2-9016-13e0b4cdd83a,Jacksons Food Stores #661,77b1a553-fd24-5b56-9707-42e4934da070,UberEats
5db60563-6497-4c20-b511-cf066487fcf7,Jacksons Food Stores #662,85cdf09f-c030-5981-9dd1-96413e5e63a9,UberEats
fdca8503-1d3f-4e34-b02b-3f9b7cdd26d2,Jacksons Food Stores #664,531d49af-02c3-593f-96ee-dbfa48a08980,UberEats
ee6c002b-317e-4f23-b79c-7f3fe516f39c,Jacksons Food Stores #665,a8967972-fcd6-5efc-8fbc-86369872b8dd,UberEats
195f36da-2932-4fe9-b16f-bcede507292c,Jacksons Food Stores #667,67912daa-6fa6-54d1-96c7-14692dcbfcae,UberEats
e993e498-770f-494e-b33d-dc7614d1efe7,Jacksons Food Stores #668,3d9c22dc-e893-511f-9c24-912b861d7436,UberEats
b37d5325-a8d2-442d-bc37-81228ea7d7b4,Jacksons Food Stores #30,f4107939-d4d0-5605-bbb5-74829c6a0e38,UberEats
db55f833-f99d-4349-9d96-409950de69e0,Jacksons Food Stores #67,4c226575-29c1-5591-868b-ad258fceb38d,UberEats
3b1df9ff-3fea-4720-b38b-337582c4290d,Jacksons Food Stores #68,a19fe489-d2ad-57ba-9157-bb8c6e2ec03f,UberEats
bf6060f3-5c9b-49a4-8a4d-12645a6b71b4,Jacksons Food Stores #69,725fbeeb-fc79-5b00-afa4-9d165ba8b9aa,UberEats
47dd418f-08ef-4b1c-8f7d-8f8736f63c36,Jacksons Food Stores #73,a397a5f5-7faf-5ac0-9ecd-a67bd5536d52,UberEats
9a17fa9a-a75b-4c6a-af62-122f2664c1f6,Jacksons Food Stores #249,b7fe57fa-fdaf-5786-9a87-1f80a33036b1,UberEats
766da79c-95a2-4692-86c2-5f9d4cb933b9,Jacksons Food Stores #250,9f77aef2-e5ee-5d19-bed8-1ffb81fc665a,UberEats
4ba4a9fd-56ec-4a4f-b134-b70b62f140a9,Jacksons Food Stores #248,a1233e24-23d9-5557-8643-1f98fdef8582,UberEats
f0b465b5-a873-431f-a1b3-cf5c3d29c06f,Circle K Carlsbad,ab105eb5-1272-5c51-8a66-3c7dd9d19b80,UberEats
